,zipcode,Avg Adj Gross Income,%Elderly,%Single,%Joint,%HeadofH,avgDep
16493,56522,54.47142857142857,0.25,0.42857142857142855,0.4642857142857143,0.0,0.7142857142857143
16494,56523,56.37826086956522,0.34782608695652173,0.43478260869565216,0.43478260869565216,0.13043478260869565,0.6521739130434783
16495,56524,59.945945945945944,0.5135135135135135,0.4594594594594595,0.4594594594594595,0.0,0.35135135135135137
16496,56527,43.04210526315789,0.2631578947368421,0.42105263157894735,0.5,0.07894736842105263,0.6842105263157895
16497,56528,57.985897435897435,0.4230769230769231,0.3974358974358974,0.5256410256410257,0.0641025641025641,0.4230769230769231
16498,56529,55.33122171945701,0.2081447963800905,0.45248868778280543,0.4072398190045249,0.12217194570135746,0.6787330316742082
16499,56531,58.09148936170213,0.30851063829787234,0.43617021276595747,0.4574468085106383,0.07446808510638298,0.5531914893617021
16500,56533,55.36875,0.25,0.5,0.4375,0.0,0.625
16501,56534,53.61333333333334,0.3,0.4666666666666667,0.45,0.06666666666666667,0.45
16502,56535,61.32203389830509,0.3559322033898305,0.423728813559322,0.4915254237288136,0.06779661016949153,0.5254237288135594
16503,56536,67.63636363636364,0.36363636363636365,0.45454545454545453,0.45454545454545453,0.0,0.5454545454545454
16504,56537,56.8544069640914,0.3373231773667029,0.47986942328618065,0.4200217627856366,0.08487486398258977,0.5201305767138193
16505,56540,67.05824175824176,0.3076923076923077,0.45054945054945056,0.4835164835164835,0.06593406593406594,0.5824175824175825
16506,56542,52.776612903225804,0.3064516129032258,0.45161290322580644,0.4435483870967742,0.08870967741935484,0.5967741935483871
16507,56543,57.16428571428571,0.2857142857142857,0.42857142857142855,0.5,0.0,0.6428571428571429
16508,56544,53.64612244897959,0.2816326530612245,0.4326530612244898,0.45714285714285713,0.09795918367346938,0.6530612244897959
16509,56545,47.303125,0.3125,0.46875,0.4375,0.0,0.5
16510,56546,69.32307692307693,0.38461538461538464,0.46153846153846156,0.46153846153846156,0.0,0.6153846153846154
16511,56547,66.60725806451613,0.23387096774193547,0.4112903225806452,0.5080645161290323,0.08870967741935484,0.717741935483871
16512,56548,54.720588235294116,0.29411764705882354,0.4411764705882353,0.4117647058823529,0.11764705882352941,0.6470588235294118
16513,56549,67.48034188034188,0.2564102564102564,0.4358974358974359,0.5085470085470085,0.05128205128205128,0.6324786324786325
16514,56550,51.473684210526315,0.3157894736842105,0.47368421052631576,0.47368421052631576,0.10526315789473684,0.6842105263157895
16515,56551,45.55377358490566,0.33962264150943394,0.46226415094339623,0.4528301886792453,0.0660377358490566,0.5377358490566038
16516,56552,47.80909090909091,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.0,0.5909090909090909
16517,56553,64.66153846153846,0.38461538461538464,0.5384615384615384,0.38461538461538464,0.0,0.46153846153846156
16518,56554,64.79925373134328,0.3283582089552239,0.43283582089552236,0.5,0.07462686567164178,0.5223880597014925
16519,56556,48.486,0.36,0.44,0.46,0.08,0.6
16520,56557,50.582644628099175,0.2809917355371901,0.47107438016528924,0.30578512396694213,0.19834710743801653,0.7355371900826446
16521,56560,55.35585492227979,0.21709844559585492,0.5020725388601036,0.3761658031088083,0.10725388601036269,0.6020725388601036
16522,56566,37.3,0.15,0.35,0.2,0.45,1.3
16523,56567,48.91483870967742,0.25806451612903225,0.45806451612903226,0.44516129032258067,0.08387096774193549,0.6645161290322581
16524,56569,49.84909090909091,0.32727272727272727,0.36363636363636365,0.4,0.21818181818181817,0.8181818181818182
16525,56570,52.16140350877193,0.3508771929824561,0.42105263157894735,0.5087719298245614,0.07017543859649122,0.47368421052631576
16526,56571,62.44375,0.40625,0.40625,0.5208333333333334,0.052083333333333336,0.3854166666666667
16527,56572,56.09416058394161,0.3284671532846715,0.42700729927007297,0.46715328467153283,0.0948905109489051,0.583941605839416
16528,56573,65.57064220183486,0.2966360856269113,0.46788990825688076,0.4434250764525994,0.08256880733944955,0.5749235474006116
16529,56574,58.17857142857143,0.2857142857142857,0.5,0.42857142857142855,0.0,0.42857142857142855
16530,56575,54.016666666666666,0.4166666666666667,0.375,0.4583333333333333,0.20833333333333334,0.7083333333333334
16531,56576,67.4054054054054,0.40540540540540543,0.43243243243243246,0.5135135135135135,0.05405405405405406,0.4594594594594595
16532,56578,69.47857142857143,0.40476190476190477,0.42857142857142855,0.5,0.0,0.5
16533,56579,52.78392857142857,0.30357142857142855,0.4642857142857143,0.4642857142857143,0.07142857142857142,0.6428571428571429
16534,56580,69.44642857142857,0.19642857142857142,0.4107142857142857,0.5178571428571429,0.07142857142857142,0.75
16535,56581,44.40769230769231,0.3076923076923077,0.5384615384615384,0.3076923076923077,0.0,0.46153846153846156
16536,56584,49.48461538461538,0.3230769230769231,0.49230769230769234,0.4307692307692308,0.07692307692307693,0.5230769230769231
16537,56585,62.928260869565214,0.32608695652173914,0.45652173913043476,0.4782608695652174,0.08695652173913043,0.6086956521739131
16538,56586,61.034375,0.375,0.4375,0.4791666666666667,0.052083333333333336,0.4479166666666667
16539,56587,60.78625,0.4,0.45,0.5,0.05,0.375
16540,56588,54.08846153846154,0.4230769230769231,0.4230769230769231,0.5384615384615384,0.0,0.46153846153846156
16541,56589,47.1126582278481,0.3291139240506329,0.4430379746835443,0.4050632911392405,0.1518987341772152,0.7088607594936709
16542,56590,63.455555555555556,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.0,0.4444444444444444
16543,56592,44.542857142857144,0.3333333333333333,0.5238095238095238,0.38095238095238093,0.09523809523809523,0.6190476190476191
16544,56594,60.46,0.3,0.45,0.45,0.0,0.5
16545,56601,57.4015742642026,0.26420260095824777,0.49007529089664614,0.3928815879534565,0.1054072553045859,0.5605749486652978
16546,56621,47.66268656716418,0.2736318407960199,0.472636815920398,0.39800995024875624,0.11442786069651742,0.6119402985074627
16547,56623,55.24295774647887,0.3380281690140845,0.47183098591549294,0.4084507042253521,0.09154929577464789,0.4154929577464789
16548,56626,33.9875,0.25,0.4375,0.25,0.25,0.875
16549,56627,39.61666666666667,0.4166666666666667,0.5,0.3333333333333333,0.0,0.25
16550,56628,54.84084507042254,0.4507042253521127,0.39436619718309857,0.5070422535211268,0.08450704225352113,0.39436619718309857
